,name,birthDate
783,Coleman Derrick,1967-06-21
784,Coleman Norm,1949-08-17
785,Coleman Ornette,1930-03-09
786,Coles Laveranues,1977-12-29
787,Coles Robert,1929-10-12
788,Colicchio Tom,1962-08-15
789,Collins Joan,1933-05-23
790,Collins Judy,1939-05-01
791,Collins Kerry,1970-12-30
792,Collins Phil,1951-01-30
793,Colon Bartolo,1973-05-24
794,Colosio Luis Donaldo,1950-02-10
795,Coltrane John,1926-09-23
796,Columbus Christopher,1451-01-01
797,Combs Sean,1969-11-04
798,Comden Betty,1917-05-03
799,Comey James B,1960-12-14
800,Condit Philip M,1941-08-02
801,Cone David,1963-01-02
802,Conlon James,1950-03-18
803,Connelly Michael,1956-07-21
804,Conner Dennis,1942-09-16
805,Connerly Ward,1939-06-15
806,Connery Sean,1930-08-25
807,Connors Jimmy,1952-09-02
808,Conrad Kent,1948-03-12
809,Conroy Frank,1936-01-15
810,Conroy Pat,1945-10-26
811,Constant Emmanuel,1956-10-27
812,Contreras Jose,1971-12-06
813,Conyers John Jr,1929-05-16
814,Cook Barbara,1927-10-25
815,Cook Robin,1946-02-28
816,Cooke Alistair,1908-11-20
817,Cooke Jack Kent,1912-10-25
818,Cooper Helene,1966-04-22
819,Coover Robert,1932-02-04
820,Copland Aaron,1900-11-14
821,Coppola Francis Ford,1939-04-07
822,Coppola Sofia,1971-05-14
823,Corea Chick,1941-06-12
824,Corella Angel,1975-11-08
825,Corigliano John,1938-02-16
826,Cornell Joseph,1903-12-24
827,Cornwell Patricia,1956-06-09
828,Cornyn John,1952-02-02
829,Correa Rafael,1963-04-06
830,Corretja Alex,1974-04-11
831,Corzine Jon S,1947-01-01
832,Cosby Bill,1937-07-12
833,Cosby Ennis,1969-04-15
834,Costa Albert,1975-06-25
835,Costas Bob,1952-03-22
836,Costello Elvis,1954-08-25
837,Costner Kevin,1955-01-18
838,Cote Denise,1946-01-01
839,Cottrell Ted,1947-06-13
840,Couch Tim,1977-07-31
841,Coughlin Natalie,1982-08-23
842,Coughlin Tom,1946-08-31
843,Coulter Ann,1961-12-08
844,Couples Fred,1959-10-03
845,Couric Katie,1957-01-07
846,Courier Jim,1970-08-17
847,Coutts Russell,1962-03-01
848,Coward Noel,1899-12-16
849,Cowell Alan,1947-03-16
850,Cowell Simon,1959-10-07
851,Cowher Bill,1957-05-08
852,Cox Archibald,1912-05-17
853,Cox Bryan,1968-02-17
854,Cox Christopher,1952-10-16
855,Craig Gregory B,1945-03-04
856,Craig Larry E,1945-07-20
857,Cramer James J,1955-02-10
858,Craven Wes,1939-08-02
859,Crenshaw Ben,1952-01-11
860,Crew Rudolph F,1950-09-10
861,Crichton Michael,1942-10-23
862,Crist Charlie,1956-07-24
863,Crocker Ryan C,1949-06-19
864,Cronenberg David,1943-03-15
865,Cronkite Walter,1916-11-04
866,Cronyn Hume,1911-07-18
867,Crosby Bing,1903-05-03
868,Cross Howard,1967-08-08
869,Crossette Barbara,1939-07-12
870,Crouch Stanley,1945-12-14
871,Crow Elizabeth,1946-07-29
872,Crow Sheryl,1962-02-11
873,Crowe Cameron,1957-07-13
874,Crowe Russell,1964-04-07
875,Crudup Billy,1968-07-08
876,Cruise Tom,1962-07-03
877,Cruz Celia,1925-10-21
878,Cruz Penelope,1974-04-28
879,Crystal Billy,1948-03-14
880,Cuaron Alfonso,1961-11-28
881,Cuban Mark,1958-07-31
882,Culkin Macaulay,1980-08-26
883,Cullen Charles,1960-02-22
884,Cumming Alan,1965-01-27
885,Cunanan Andrew Phillip,1969-08-31
886,Cunningham Merce,1919-04-16
887,Cunningham Michael,1952-11-06
888,Cunningham Randy,1941-12-08
889,Cuomo Andrew M,1957-12-06
890,Cuomo Mario M,1932-06-15
891,Currie Betty,1939-11-10
892,Curry Jack,1964-11-25
893,Curtis Jamie Lee,1958-11-22
894,Cusack John,1966-06-28
895,Custer George Armstrong,1839-12-05
896,Cutler Bruce,1948-04-29
897,Cutler Lloyd N,1917-01-01
898,Cyrus Miley,1992-11-23
899,Da Silva Luiz Inacio Lula,1945-10-27
900,Dafoe Willem,1955-07-22
901,Daft Douglas N,1943-03-20
902,Dahlan Muhammad,1961-01-01
903,Daily Thomas V,1927-09-23
904,Daldry Stephen,1960-05-02
905,Daley Suzanne,1956-01-01
906,Daley William M,1948-08-09
907,Dali Salvador,1904-05-11
908,Dallek Robert,1934-05-16
909,Damon Matt,1970-10-08
910,Danes Claire,1979-04-12
911,Daneyko Ken,1964-04-17
912,Danforth John C,1936-09-05
913,Daniele Graciela,1939-12-08
914,Danielpour Richard,1956-01-28
915,Daniels Jeff,1955-02-19
916,Daniels Mitchell E Jr,1949-04-07
917,Danner Blythe,1943-02-03
918,Danson Ted,1947-12-29
919,Danticat Edwidge,1969-01-19
920,Dargis Manohla,1961-01-01
921,Darnton John,1941-11-20
922,Darwin Charles Robert,1809-02-12
923,Daschle Tom,1947-12-09
924,Dash Samuel,1925-02-27
925,Daum Meghan,1970-01-01
926,Davenport Lindsay,1976-06-08
927,David Larry,1947-07-02
928,Davies Dennis Russell,1944-04-16
929,Davies Laura,1963-10-05
930,Davis Bette,1908-04-05
931,Davis Clive,1932-04-04
932,Davis Colin,1927-09-25
933,Davis Gray,1942-12-26
934,Davis Judy,1955-04-23
935,Davis Lanny J,1945-12-12
936,Davis Marvin,1925-08-28
937,Davis Miles,1926-05-26
938,Davis Ossie,1917-12-18
939,Davis Terrell,1972-10-28
940,Dawkins Richard,1941-03-26
941,Day Dorothy,1897-11-08
942,Day Stockwell,1950-08-16
943,Day-Lewis Daniel,1957-04-22
944,Dayne Ron,1978-03-14
945,De La Hoya Oscar,1973-02-04
946,De Niro Robert,1943-08-17
947,DeBakey Michael E,1908-09-07
948,DeGeneres Ellen,1958-01-26
949,DeLillo Don,1936-11-20
950,DeVito Danny,1944-11-17
951,DeWine Mike,1947-01-05
952,Dean Howard,1948-11-17
953,Dean James,1931-02-08
954,Dean Judith Steinberg,1953-05-09
955,Dear Noach,1953-01-01
956,Debevoise Dickinson R,1924-04-23
957,Debussy Claude,1862-08-22
958,Decaro Frank,1962-11-06
959,Dedman Bill,1960-01-01
960,Dee Ruby,1922-10-27
961,Def Mos,1973-12-11
962,Degas Edgar,1834-07-19
963,Del Ponte Carla,1947-02-09
964,Del Toro Benicio,1967-02-19
965,Del Tredici David,1937-01-01
966,Delay Tom,1947-04-08
967,Dell Michael S,1965-02-23
968,Dementieva Elena,1981-10-15
969,Demirel Suleyman,1924-11-01
970,Demme Jonathan,1944-02-22
971,Dench Judi,1934-12-09
972,Deneuve Catherine,1943-10-22
973,Dennehy Brian,1938-07-09
974,Denver John,1943-12-31
975,Depalma Anthony,1904-10-12
976,Depardieu Gerard,1948-12-27
977,Depp Johnny,1963-06-09
978,Deri Aryeh,1959-02-17
979,Dershowitz Alan M,1938-09-01
980,Deutch John M,1938-07-27
981,Deutsch Donny,1957-11-22
982,Devers Gail,1966-11-19
983,Dewhurst Colleen,1924-06-03
984,DiCaprio Leonardo,1974-11-11
985,DiMaggio Joe,1914-11-25
986,DiMarco Chris,1968-08-23
987,DiNapoli Thomas P,1954-02-10
988,Diallo Amadou,1975-09-02
989,Diamond Neil,1941-01-24
990,Diaz Cameron,1972-08-30
991,Dick Philip K,1928-12-16
992,Dickens Charles,1812-02-07
993,Dickinson Emily,1830-12-10
994,Didion Joan,1934-12-05
995,Diebenkorn Richard,1922-04-22
996,Dietrich Marlene,1901-12-27
997,Difrancesco Donald T,1944-11-20
998,Diller Barry,1942-02-02
999,Dillon Denis E,1933-12-21
1000,Dimon James,1956-03-13
1001,Dingell John D,1926-07-08
1002,Dinkins David N,1927-07-10
1003,DioGuardi Joseph J,1940-09-20
1004,Dion Celine,1968-03-30
1005,Dipietro Rick,1981-09-19
1006,Disney Roy E,1930-01-10
1007,Disney Walt,1901-12-05
1008,Ditka Mike,1939-10-18
1009,Dobbs Lou,1945-09-24
1010,Dobrzynski Judith H,1949-03-08
1011,Dobson James C,1936-04-21
1012,Doby Larry,1923-12-13
1013,Doctoroff Daniel L,1958-07-11
1014,Doctorow E L,1931-01-06
1015,Dodd Christopher J,1944-05-27
1016,Dohnanyi Christoph von,1929-09-08
1017,Dolan Charles F,1926-10-16
1018,Dolan James L,1955-05-11
1019,Dolan Timothy M,1950-02-06
1020,Dole Bob,1923-07-22
1021,Dole Elizabeth,1936-07-29
1022,Domenici Pete V,1932-05-07
1023,Domi Tie,1969-11-01
1024,Domingo Placido,1941-01-21
1025,Donaghy Tim,1967-01-07
1026,Donahue Phil,1935-12-21
1027,Donaldson Sam,1934-03-11
1028,Donaldson William H,1931-06-02
1029,Donizetti Gaetano,1797-11-29
1030,Dooling Richard,1954-01-01
1031,Doonan Simon,1952-01-01
1032,Dorfman Ariel,1942-05-06
1033,Dorfman Dan,1931-10-24
1034,Dorgan Byron L,1942-05-14
1035,Doria Joseph V Jr,1946-06-28
1036,Dornan Robert K,1933-04-03
1037,Dos Santos Jose Eduardo,1942-08-28
1038,Dostoyevsky Fyodor,1821-11-11
1039,Dostum Abdul Rashid,1954-01-01
1040,Dougherty Philip H,1923-12-21
1041,Douglas Kirk,1916-12-09
1042,Douglas Michael,1944-09-25
1043,Dowd Maureen,1952-01-14
1044,Doyle Arthur Conan,1859-05-22
1045,Drabinsky Garth H,1949-10-27
1046,Dragila Stacy,1971-03-25
1047,Drexler Clyde,1962-06-22
1048,Dreyfuss Richard,1947-10-29
1049,Drudge Matt,1966-10-27
1050,Du Pont John E,1938-11-22
1051,Duane Thomas K,1955-01-30
1052,Dubus Andre,1936-08-11
1053,Ducasse Alain,1956-09-13
1054,Duchamp Marcel,1887-07-28
1055,Duchovny David,1960-08-07
1056,Dudley Chris,1965-02-22
1057,Duff Patricia,1954-04-12
1058,Dugger Celia W,1958-07-03
1059,Duhalde Eduardo,1941-10-05
1060,Duisenberg Wim,1935-07-09
1061,Dukakis Michael S,1933-11-03
1062,Dukakis Olympia,1931-06-20
1063,Duke David E,1950-07-01
1064,Duke Doris,1912-11-22
1065,Dumas Roland,1922-08-23
1066,Dunaway Faye,1941-01-14
1067,Duncan Arne,1964-11-06
1068,Duncan Isadora,1877-05-27
1069,Duncan Tim,1976-04-25
1070,Dungy Tony,1955-10-06
1071,Dunlap Albert J,1937-07-26
1072,Dunn Patricia C,1953-03-27
1073,Dunne Dominick,1925-10-29
1074,Dunne John Gregory,1932-05-25
1075,Duquette Jim,1966-01-01
1076,Durang Christopher,1949-01-02
1077,Duras Marguerite,1914-04-04
1078,Durbin Richard J,1944-11-21
1079,Durning Charles,1923-02-28
1080,Durso Joseph,1924-06-22
1081,Durst Robert A,1943-01-01
1082,Dutoit Charles,1936-10-07
1083,Dutroux Marc,1956-11-06
1084,Duval David,1971-11-09
1085,Duvall Robert,1931-01-05
1086,Dykstra Gretchen,1948-08-22
1087,Dylan Bob,1941-05-24
1088,Dyson Esther,1951-07-14
1089,da Vinci Leonardo,1452-04-15
1090,de Blasio Bill,1961-05-08
1091,de Gaulle Charles,1890-11-22
1092,de Keersmaeker Anne Teresa,1960-01-01
1093,de Klerk F W,1936-03-18
1094,de Kooning Willem,1904-04-24
1095,de Larrocha Alicia,1923-05-23
1096,de Montebello Philippe,1936-05-16
1097,de Palma Brian,1940-09-11
1098,de la Renta Oscar,1933-07-22
1099,de la Rua Fernando,1937-09-15
1100,Eagleburger Lawrence S,1930-08-01
1101,Eaglen Jane,1960-04-04
1102,Eakins Thomas,1844-07-25
1103,Earhart Amelia,1897-07-24
1104,Easterbrook Gregg,1953-03-03
1105,Eastwood Clint,1930-05-31
1106,Eaton Robert J,1940-01-01
1107,Ebadi Shirin,1947-06-21
1108,Ebb Fred,1928-04-08
1109,Ebbers Bernard J,1941-08-27
1110,Eberharter Stephan,1969-03-24
1111,Ebersol Dick,1947-07-28
1112,Ebersole Christine,1953-02-21
1113,Ebert Roger,1942-06-18
1114,Ecevit Bulent,1925-05-28
1115,Echeverria Luis,1922-01-17
1116,Edberg Stefan,1966-01-19
1117,Edelman Marian Wright,1939-06-06
1118,Edelstein David N,1910-02-16
1119,Edgar Jim,1946-07-22
1120,Edison Thomas A,1847-02-11
1121,Edwards Blake,1922-07-26
1122,Edwards Edwin W,1927-08-07
1123,Edwards Elizabeth,1949-07-03
1124,Edwards Herman,1954-04-27
1125,Edwards John,1953-06-10
1126,Egan Edward M,1932-04-02
1127,Egan Timothy,1954-11-08
1128,Egeland Jan,1957-09-12
1129,Eggers Dave,1970-03-12
1130,Egoyan Atom,1960-07-19
1131,Ehrenreich Barbara,1941-08-26
1132,Ehrlich Robert L Jr,1957-11-25
1133,Eichenwald Kurt,1961-06-28
1134,Eichmann Adolf,1906-03-19
1135,Einstein Albert,1879-03-14
1136,Eisenhower Dwight David,1890-10-14
1137,Eisenman Peter,1932-08-11
1138,Eisenstein Sergei,1898-01-22
1139,Eisley Howard,1972-12-04
1140,Eisner Michael D,1942-03-07
1141,Eizenstat Stuart E,1943-01-15
1142,Ekeus Rolf,1935-07-07
1143,El-Hage Wadih,1960-07-25
1144,ElBaradei Mohamed,1942-06-17
1145,Eldredge Todd,1971-08-28
1146,Eliasson Olafur,1967-01-01
1147,Eliot Thomas Stearns,1888-09-26
1148,Elizabeth II Queen of Great Britain,1926-04-21
1149,Elkin Stanley,1930-05-11
1150,Ellington Duke,1899-04-29
1151,Elliott Andrea,1972-12-14
1152,Ellis Bret Easton,1964-03-07
1153,Ellis Joseph J,1943-07-18
1154,Ellis Shaun,1977-06-24
1155,Ellison Lawrence J,1944-08-17
1156,Ellison Ralph,1913-03-01
1157,Ellroy James,1948-03-04
1158,Ellsberg Daniel,1931-04-07
1159,Els Ernie,1969-10-17
1160,Elway John,1960-06-28
1161,Emanuel Rahm,1959-11-29
1162,Engel Eliot L,1947-02-18
1163,England Lynndie R,1982-11-08
1164,Engler John,1948-10-12
1165,Enqvist Thomas,1974-03-13
1166,Ensign John,1958-03-25
1167,Ensler Eve,1953-05-25
1168,Ephron Nora,1941-05-19
1169,Erbakan Necmettin,1926-10-29
1170,Erdogan Recep Tayyip,1954-02-26
1171,Erdrich Louise,1954-06-07
1172,Erekat Saeb,1955-04-28
1173,Eristoff Andrew S,1963-02-20
1174,Erlanger Steven,1952-01-01
1175,Errico Melissa,1970-03-23
1176,Erving Julius,1950-02-22
1177,Eschenbach Christoph,1940-01-01
1178,Esiason Boomer,1961-04-17
1179,Espada Pedro Jr,1953-10-20
1180,Espy Mike,1953-11-30
1181,Esrey William T,1940-01-01
1182,Estefan Gloria,1957-09-01
1183,Estrada Joseph,1937-04-19
1184,Estrada Miguel,1961-09-25
1185,Eszterhas Joe,1944-11-23
1186,Etzioni Amitai,1929-01-04
1187,Eugenides Jeffrey,1960-03-08
1188,Evans Donald L,1946-07-26
1189,Evans Walker,1903-11-03
1190,Everett Carl,1971-06-03
1191,Everett Rupert,1959-05-29
1192,Evers Medgar,1925-07-02
1193,Everson Mark W,1954-09-10
1194,Evert Chris,1954-12-21
1195,Ewing Patrick,1962-08-05
1196,Eyadema Gnassingbe,1935-12-26
1197,Eyre Richard,1943-03-28
1198,Fahim Muhammad,1957-01-01
1199,Faircloth Lauch,1928-01-14
1200,Fairstein Linda,1947-05-05
1201,Faithfull Marianne,1946-12-29
1202,Falco Edie,1963-07-05
1203,Faldo Nick,1957-07-18
1204,Falk David,1950-01-01
1205,Falk Peter,1927-09-16
1206,Fallows James,1949-08-02
1207,Faludi Susan,1959-04-18
1208,Falwell Jerry,1933-08-11
1209,Farrakhan Louis,1933-05-11
1210,Farrell Colin,1976-05-31
1211,Farrell Herman D Jr,1932-02-04
1212,Farrell Suzanne,1945-08-16
1213,Farrow Mia,1945-02-09
1214,Fassbinder Rainer Werner,1945-05-31
1215,Fassel Jim,1949-08-31
1216,Fastow Andrew S,1961-12-22
1217,Fauci Anthony S,1940-12-24
1218,Faulk Marshall,1973-02-26
1219,Faulkner William,1897-09-25
1220,Favre Brett,1969-10-10
1221,Fayed Emad al-,1955-04-15
1222,Fayed Mohamed al-,1933-01-27
1223,Fayyad Salam,1952-04-02
1224,Fazio Vic,1942-10-11
1225,Federer Roger,1981-08-08
1226,Fehr Donald,1948-06-18
1227,Feiffer Jules,1929-01-26
1228,Feinberg Kenneth R,1945-10-23
1229,Feiner Paul,1956-02-14
1230,Feingold Russell D,1953-03-02
1231,Feinstein Dianne,1933-06-22
1232,Feinstein Michael,1956-09-07
1233,Feith Douglas J,1953-07-16
1234,Feld Eliot,1942-07-05
1235,Feldman Morton,1926-01-12
1236,Feldman Sandra,1939-10-13
1237,Feldshuh Tovah,1952-12-27
1238,Fellini Federico,1920-01-20
1239,Feltsman Vladimir,1952-01-08
1240,Ferencz Benjamin B,1920-03-11
1241,Ferguson Niall,1964-04-18
1242,Fernandes George,1930-06-03
1243,Fernandez Leonel,1953-12-26
1244,Ferraro Geraldine A,1935-08-26
1245,Ferre Gianfranco,1944-08-15
1246,Ferreira Wayne,1971-09-15
1247,Ferrell Will,1967-07-16
1248,Ferrer Fernando,1950-04-30
1249,Ferrero Juan Carlos,1980-02-12
1250,Fey Tina,1970-05-18
1251,Fhimah Al Amin Khalifa,1956-04-04
1252,Fiedler Jay,1971-12-29
1253,Fieger Geoffrey,1950-12-23
1254,Field Sally,1946-11-06
1255,Fielder Cecil,1963-09-21
1256,Fields C Virginia,1945-08-06
1257,Fiennes Ralph,1962-12-22
1258,Fierstein Harvey,1952-06-06
1259,Figgis Mike,1948-02-28
1260,Filkins Dexter,1961-01-01
1261,Finley Karen,1956-01-01
1262,Fiorina Carleton S,1954-09-06
1263,Firth Colin,1960-09-10
1264,Fischer Bobby,1943-03-09
1265,Fischer Joschka,1948-04-12
1266,Fischer Stanley,1943-10-15
1267,Fischl Eric,1948-03-09
1268,Fish Mardy,1981-12-09
1269,Fish Stanley,1938-04-19
1270,Fisher Amy,1974-08-21
1271,Fisher Carrie,1956-10-21
1272,Fisher George M C,1940-01-01
1273,Fisk Carlton,1947-12-26
1274,Fitzgerald Ella,1917-04-25
1275,Fitzgerald F Scott,1896-09-24
1276,Fitzgerald Patrick J,1960-12-22
1277,Fitzgerald Penelope,1916-12-17
1278,Flake Floyd H,1945-01-30
1279,Flanders Stephanie,1968-08-05
1280,Flaubert Gustave,1821-12-12
1281,Flavin Dan,1933-04-01
1282,Flay Bobby,1964-12-10
1283,Fleischer Ari,1960-10-13
1284,Fleisher Bruce,1948-10-16
1285,Fleiss Heidi,1965-12-30
1286,Fleming Renee,1959-02-14
1287,Fletcher Ernie,1952-11-12
1288,Fleury Theo,1968-06-29
1289,Florio Jim,1937-08-29
1290,Florio Steven T,1949-04-19
1291,Flowers Gennifer,1950-01-24
1292,Flutie Doug,1962-10-23
1293,Flynt Larry,1942-11-01
1294,Fo Dario,1926-03-24
1295,Foer Jonathan Safran,1977-02-21
1296,Foley Glenn,1970-10-10
1297,Foley Mark A,1954-09-08
1298,Fonda Jane,1937-12-21
1299,Foner Eric,1943-02-07
1300,Foote Horton,1916-03-14
1301,Forbes Malcolm,1919-08-19
1302,Forbes Malcolm S Jr,1947-07-18
1303,Forbes Michael P,1952-07-16
1304,Ford Gerald Rudolph Jr,1913-07-14
1305,Ford Harrison,1942-07-13
1306,Ford Henry,1863-07-30
1307,Ford Richard,1944-02-16
1308,Ford Tom,1961-08-27
1309,Fordice Kirk,1934-02-10
1310,Foreman George,1949-01-10
1311,Forrest Vernon,1971-01-12
1312,Forrester Douglas R,1953-01-24
1313,Forstmann Theodore J,1940-02-13
1314,Fortuyn Pim,1948-02-19
1315,Foss Lukas,1922-08-15
1316,Fosse Bob,1927-06-23
1317,Fossella Vito J Jr,1965-03-09
1318,Fossett Steve,1944-04-22
1319,Foster Jodie,1962-11-19
1320,Foster Vincent W Jr,1945-01-15
1321,Fox Quesada Vicente,1942-07-02
1322,Fox Michael J,1961-06-09
1323,Foxman Abraham H,1940-05-01
1324,Foxx Jamie,1967-12-13
1325,Franchitti Dario,1973-05-19
1326,Franco Francisco,1892-12-04
1327,Franco Itamar,1930-06-28
1328,Franco John,1960-09-17
1329,Franey Pierre,1921-01-13
1330,Frank Anne,1929-06-12
1331,Frank Barney,1940-03-31
1332,Frank Lawrence,1970-08-23
1333,Frank Pamela,1967-06-20
1334,Frank Robert H,1945-01-02
1335,Frankel Max,1930-01-01
1336,Franken Al,1951-05-21
1337,Frankenheimer John,1930-02-19
1338,Frankenthaler Helen,1928-12-12
1339,Franklin Aretha,1942-03-25
1340,Franklin Benjamin,1706-01-17
1341,Franklin John Hope,1915-01-02
1342,Franks Bob,1951-09-21
1343,Franks Gary A,1953-02-09
1344,Franks Tommy R,1945-06-17
1345,Franzen Jonathan,1959-08-17
1346,Fraschilla Fran,1958-08-30
1347,Fraser C Gerald,1928-01-09
1348,Frayn Michael,1933-09-08
1349,Frazier Walt,1945-03-29
1350,Frears Stephen,1941-06-20
1351,Freedman Samuel G,1955-01-01
1352,Freeh Louis J,1950-01-06
1353,Freeman Morgan,1937-06-01
1354,Freni Mirella,1935-02-27
1355,Freston Tom,1945-11-22
1356,Freud Lucian,1922-12-08
1357,Freud Sigmund,1856-05-06
1358,Frey James,1969-09-12
1359,Friedan Betty,1921-02-04
1360,Frieden Thomas R,1960-01-01
1361,Friedman Kinky,1944-11-01
1362,Friedman Milton,1912-07-31
1363,Friedman Paul L,1944-02-20
1364,Friedman Thomas L,1953-07-20
1365,Friel Brian,1929-01-09
1366,Friendly Fred W,1915-10-30
1367,Frist Bill,1952-02-22
1368,Frost Martin,1942-01-01
1369,Frost Robert,1874-03-26
1370,Frum David,1960-06-30
1371,Fry Stephen,1957-08-24
1372,Fugard Athol,1932-06-11
1373,Fuhrman Mark,1952-02-05
1374,Fujimori Alberto K,1938-07-28
1375,Fukuda Yasuo,1936-07-16
1376,Fukuyama Francis,1952-10-27
1377,Fuller Bonnie,1956-09-08
1378,Funk Fred,1956-06-14
1379,Furst Alan,1941-02-20
1380,Furyk Jim,1970-05-12
1381,Gaba Dan,1946-01-01
1382,Gabriel Trip,1955-01-01
1383,Gaddis John Lewis,1941-01-01
1384,Gaiman Neil,1960-11-10
1385,Galarraga Andres,1961-06-18
1386,Galbraith James K,1952-01-29
1387,Galbraith John Kenneth,1908-10-15
1388,Galef David,1959-03-27
1389,Galliano John,1960-11-28
1390,Galvin William F,1950-09-17
1391,Galway James,1939-12-08
1392,Gambill Jan-Michael,1977-06-03
1393,Gandhi Indira,1917-11-19
1394,Gandhi Mohandas K,1869-10-02
1395,Gandhi Rajiv,1944-08-20
1396,Gandhi Sonia,1946-12-09
1397,Gandolfini James,1961-09-18
1398,Gans Herbert J,1927-05-07
1399,Gantt Harvey,1943-01-01
1400,Garamendi John,1945-01-24
1401,Garbo Greta,1905-09-18
1402,Garbus Martin,1934-01-01
1403,Garcetti Gil,1941-08-05
1404,Garcia Lorca Federico,1898-06-05
1405,Garcia Alan,1949-05-23
1406,Garcia Jerry,1942-08-01
1407,Garcia Karim,1975-10-29
1408,Garcia Sergio,1980-01-09
1409,Garciaparra Nomar,1973-07-23
1410,Garzon Baltasar,1955-10-26
1411,Gheorghiu Angela,1965-09-07
1412,Ghosn Carlos,1954-03-09
1413,Giacometti Alberto,1901-10-10
1414,Giambi Jason,1971-01-08
1415,Gibson Althea,1927-08-25
1416,Gibson Charles,1943-03-09
1417,Gibson Mel,1956-01-03
1418,Gielgud John,1904-04-14
1419,Gifford Kathie Lee,1953-08-16
1420,Gigante Vincent,1928-03-29
1421,Gilbert William S,1836-11-18
1422,Gill Brendan,1914-10-04
1423,Gill Kendall,1968-05-25
1424,Gillespie Dizzy,1917-10-21
1425,Gillibrand Kirsten E,1966-12-09
1426,Gilligan Carol,1936-11-28
1427,Gimelstob Justin,1977-01-26
1428,Gingrich Newt,1943-06-17
1429,Ginsberg Allen,1926-06-03
1430,Ginsburg Ruth Bader,1933-03-15
1431,Ginsburg William H,1943-03-25
1432,Gioia Dana,1950-12-24
1433,Giordano Philip A,1963-03-25
1434,Girardi Joe,1964-10-14
1435,Giroux Robert,1914-04-08
1436,Gish Lillian,1893-10-14
1437,Gitlin Todd,1943-01-01
1438,Giuliani Rudolph W,1944-05-28
1439,Glass Philip,1937-01-31
1440,Glasser I Leo,1924-04-06
1441,Glasser Ira,1938-01-01
1442,Glavine Tom,1966-03-25
1443,Glazer Malcolm,1928-08-15
1444,Glazer Nathan,1923-02-25
1445,Gleason Jackie,1916-02-26
1446,Gleick James,1954-08-01
1447,Glendening Parris N,1942-06-11
1448,Glendon Mary Ann,1938-10-07
1449,Glenn Aaron,1972-07-16
1450,Glenn John,1921-07-18
1451,Glennie Evelyn,1965-07-19
1452,Glick Deborah J,1950-12-24
1453,Glickman Dan,1944-11-24
1454,Glickman Marty,1917-08-14
1455,Glover Danny,1946-07-22
1456,Glover Savion,1973-11-19
1457,Gober Robert,1954-09-12
1458,Godard Jean-Luc,1930-12-03
1459,Goethe Johann Wolfgang von,1749-08-28
1460,Goetz Bernhard H,1947-11-07
1461,Goizueta Roberto C,1931-11-18
1462,Goldberg Whoopi,1955-11-13
1463,Goldberger Paul,1950-12-04
1464,Golden Howard,1925-01-01
1465,Goldhagen Daniel Jonah,1959-06-30
1466,Goldin Daniel S,1940-07-23
1467,Goldman Ari L,1949-01-01
1468,Goldsmith James,1933-02-26
1469,Goldsmith Olivia,1949-01-01
1470,Goldsworthy Andy,1956-07-26
1471,Goldwater Barry M,1909-01-01
1472,Goleman Daniel,1946-03-07
1473,Golisano Tom,1941-11-14
1474,Golota Andrew,1968-01-05
1475,Gonzales Alberto R,1955-08-04
1476,Gonzalez Elian,1993-12-06
1477,Goodall Jane,1934-04-03
1478,Goode Richard,1943-06-01
1479,Goodell Roger,1959-02-19
1480,Gooden Dwight,1964-11-16
1481,Goodling Monica,1973-08-06
1482,Goodman Benny,1909-05-30
1483,Goodman John,1947-06-20
1484,Goodman Oscar B,1939-07-26
1485,Goodman Roy M,1930-03-05
1486,Goodwin Doris Kearns,1943-01-04
1487,Goosen Retief,1969-02-03
1488,Gorbachev Mikhail S,1931-03-02
1489,Gordimer Nadine,1923-11-23
1490,Gordon Jeff,1971-08-04
1491,Gore Al,1948-03-31
1492,Gore Tipper,1948-08-19
1493,Gorey Edward,1925-02-22
1494,Gorky Arshile,1904-04-15
1495,Gorton Slade,1928-01-08
1496,Goss Porter J,1938-11-26
1497,Gotbaum Betsy,1938-06-11
1498,Gottfried Richard N,1947-05-16
1499,Gotti John A,1964-02-14
1500,Gotti John J,1940-10-27
1501,Gotti Peter,1939-10-15
1502,Gotti Victoria,1962-11-27
1503,Gottlieb Robert,1931-04-29
1504,Gould Glenn,1932-09-25
1505,Gould Stephen Jay,1941-09-10
1506,Goya Francisco de,1746-03-30
1507,Graf Steffi,1969-06-14
1508,Graham Billy,1918-11-07
1509,Graham Bob,1936-11-09
1510,Graham Franklin,1952-07-14
1511,Graham Kent,1968-11-01
1512,Graham Lindsey,1955-07-09
1513,Graham Martha,1894-05-11
1514,Gramm Phil,1942-07-08
1515,Grammer Kelsey,1955-02-21
1516,Granholm Jennifer M,1959-02-05
1517,Grant Hugh,1960-09-09
1518,Grant Ulysses S,1822-04-27
1519,Grass Gunter,1927-10-16
1520,Grassley Charles E,1933-09-17
1521,Grasso Richard A,1946-07-26
1522,Gravano Salvatore,1945-03-12
1523,Graves Adam,1968-04-12
1524,Graves Michael,1934-07-09
1525,Gray Spalding,1941-06-05
1526,Grbac Elvis,1970-08-13
1527,Green Adolph,1914-12-02
1528,Green Mark,1945-03-15
1529,Greenaway Peter,1942-04-05
1530,Greenberg Jeffrey W,1951-01-01
1531,Greenberg Maurice R,1925-05-04
1532,Greenberg Richard,1958-02-22
1533,Greene Graham,1904-10-02
